Scaling,Orig_Estimator,SVM_Model,n_features,Selected Features,Train Accuracy,Test Accuracy,Overfit Score,Test ROC_AUC,F1_malignant_%,Sensitivity_malignant_%,Specificity_benign_%,TP_malignant,FP_malignant,TN_benign,FN_malignant
Standardization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",4,"['radius error', 'worst radius', 'worst area', 'worst concave points']",0.958241758,0.947368421,0.010873337,0.990079365,92.85714286,92.85714286,95.83333333,39,3,69,3
Standardization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",7,"['radius error', 'worst radius', 'worst texture', 'worst area', 'worst smoothness', 'worst concave points', 'worst symmetry']",0.982417582,0.956140351,0.026277232,0.994708995,94.25287356,97.61904762,94.44444444,41,4,68,1
Standardization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",11,"['mean texture', 'mean concave points', 'radius error', 'compactness error', 'worst radius', 'worst texture', 'worst area', 'worst smoothness', 'worst concavity', 'worst concave points', 'worst symmetry']",0.982417582,0.973684211,0.008733372,0.993716931,96.38554217,95.23809524,98.61111111,40,1,71,2
Standardization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",17,"['mean texture', 'mean concave points', 'mean fractal dimension', 'radius error', 'texture error', 'smoothness error', 'compactness error', 'concave points error', 'fractal dimension error', 'worst radius', 'worst texture', 'worst area', 'worst smoothness', 'worst concavity', 'worst concave points', 'worst symmetry', 'worst fractal dimension']",0.984615385,0.99122807,-0.006612686,0.995701058,98.79518072,97.61904762,100,41,0,72,1
Standardization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",18,"['mean texture', 'mean concave points', 'mean fractal dimension', 'radius error', 'texture error', 'smoothness error', 'compactness error', 'concave points error', 'symmetry error', 'fractal dimension error', 'worst radius', 'worst texture', 'worst area', 'worst smoothness', 'worst concavity', 'worst concave points', 'worst symmetry', 'worst fractal dimension']",0.984615385,0.99122807,-0.006612686,0.996362434,98.79518072,97.61904762,100,41,0,72,1
Standardization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",4,"['worst radius', 'worst perimeter', 'worst area', 'worst concave points']",0.949450549,0.938596491,0.010854058,0.988756614,91.95402299,95.23809524,93.05555556,40,5,67,2
Standardization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",7,"['mean perimeter', 'mean area', 'mean concave points', 'worst radius', 'worst perimeter', 'worst area', 'worst concave points']",0.951648352,0.947368421,0.004279931,0.992063492,91.95402299,95.23809524,93.05555556,40,5,67,2
Standardization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",11,"['mean radius', 'mean perimeter', 'mean area', 'mean concavity', 'mean concave points', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst concavity', 'worst concave points']",0.98021978,0.956140351,0.024079429,0.993055556,93.97590361,92.85714286,97.22222222,39,2,70,3
Standardization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",17,"['mean radius', 'mean texture', 'mean perimeter', 'mean area', 'mean concavity', 'mean concave points', 'perimeter error', 'area error', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst smoothness', 'worst compactness', 'worst concavity', 'worst concave points', 'worst symmetry']",0.98021978,0.973684211,0.00653557,0.992724868,96.47058824,97.61904762,97.22222222,41,2,70,1
Standardization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",18,"['mean radius', 'mean texture', 'mean perimeter', 'mean area', 'mean concavity', 'mean concave points', 'radius error', 'perimeter error', 'area error', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst smoothness', 'worst compactness', 'worst concavity', 'worst concave points', 'worst symmetry']",0.98021978,0.98245614,-0.00223636,0.993055556,97.61904762,97.61904762,98.61111111,41,1,71,1
Normalization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",4,"['mean concave points', 'worst radius', 'worst texture', 'worst concave points']",0.98021978,0.956140351,0.024079429,0.990740741,93.02325581,95.23809524,94.44444444,40,4,68,2
Normalization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",7,"['mean texture', 'mean concave points', 'worst radius', 'worst texture', 'worst smoothness', 'worst concave points', 'worst symmetry']",0.975824176,0.956140351,0.019683825,0.992063492,94.11764706,95.23809524,95.83333333,40,3,69,2
Normalization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",11,"['mean texture', 'mean concave points', 'worst radius', 'worst texture', 'worst perimeter', 'worst smoothness', 'worst compactness', 'worst concavity', 'worst concave points', 'worst symmetry', 'worst fractal dimension']",0.984615385,0.964912281,0.019703104,0.993716931,95.23809524,95.23809524,97.22222222,40,2,70,2
Normalization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",17,"['mean texture', 'mean concave points', 'mean symmetry', 'concavity error', 'concave points error', 'symmetry error', 'fractal dimension error', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst smoothness', 'worst compactness', 'worst concavity', 'worst concave points', 'worst symmetry', 'worst fractal dimension']",0.98021978,0.973684211,0.00653557,0.994378307,96.38554217,95.23809524,98.61111111,40,1,71,2
Normalization,Logistic Regression,"SVC (RBF, C=1.0, gamma=scale)",18,"['mean texture', 'mean concave points', 'mean symmetry', 'compactness error', 'concavity error', 'concave points error', 'symmetry error', 'fractal dimension error', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst smoothness', 'worst compactness', 'worst concavity', 'worst concave points', 'worst symmetry', 'worst fractal dimension']",0.98021978,0.973684211,0.00653557,0.99537037,96.38554217,95.23809524,98.61111111,40,1,71,2
Normalization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",4,"['worst radius', 'worst perimeter', 'worst area', 'worst concave points']",0.945054945,0.938596491,0.006458454,0.988756614,91.95402299,95.23809524,93.05555556,40,5,67,2
Normalization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",7,"['mean perimeter', 'mean area', 'mean concave points', 'worst radius', 'worst perimeter', 'worst area', 'worst concave points']",0.951648352,0.929824561,0.02182379,0.991402116,93.02325581,95.23809524,94.44444444,40,4,68,2
Normalization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",11,"['mean radius', 'mean perimeter', 'mean area', 'mean concavity', 'mean concave points', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst concavity', 'worst concave points']",0.978021978,0.956140351,0.021881627,0.993716931,93.97590361,92.85714286,97.22222222,39,2,70,3
Normalization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",17,"['mean radius', 'mean texture', 'mean perimeter', 'mean area', 'mean concavity', 'mean concave points', 'perimeter error', 'area error', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst smoothness', 'worst compactness', 'worst concavity', 'worst concave points', 'worst symmetry']",0.978021978,0.973684211,0.004337767,0.993716931,96.38554217,95.23809524,98.61111111,40,1,71,2
Normalization,Random Forest,"SVC (RBF, C=1.0, gamma=scale)",18,"['mean radius', 'mean texture', 'mean perimeter', 'mean area', 'mean concavity', 'mean concave points', 'radius error', 'perimeter error', 'area error', 'worst radius', 'worst texture', 'worst perimeter', 'worst area', 'worst smoothness', 'worst compactness', 'worst concavity', 'worst concave points', 'worst symmetry']",0.978021978,0.973684211,0.004337767,0.993386243,96.38554217,95.23809524,98.61111111,40,1,71,2
